Prenom,Nom,Service,Login,Password,Email,Titre,Entreprise,TelFixe,TelMobile
Aurélie,Morvan,RH,amorvan,P@ssw0rd123,amorvan@neoinfra.fr,Responsable RH,Neoinfra,0137591807,+33 1 39 93 51 51
Chantal,Perrier,IT,cperrier,P@ssw0rd123,cperrier@neoinfra.fr,Administrateur système,Neoinfra,01 85 85 71 45,03 92 54 44 32
Jacques,Lacombe,Qualité,jlacombe,P@ssw0rd123,jlacombe@neoinfra.fr,Technicien qualité,Neoinfra,+33 (0)5 83 03 51 51,04 62 39 73 19
Lorraine,Pascal,Qualité,lpascal,P@ssw0rd123,lpascal@neoinfra.fr,Responsable qualité,Neoinfra,+33 (0)5 23 00 51 68,+33 (0)2 24 94 54 34
Noël,Lebrun,Production,nlebrun,P@ssw0rd123,nlebrun@neoinfra.fr,Technicien de production,Neoinfra,05 32 12 07 89,01 60 22 04 38
Marc,Gilbert,RH,mgilbert,P@ssw0rd123,mgilbert@neoinfra.fr,Gestionnaire paie,Neoinfra,03 84 11 95 27,+33 (0)4 95 70 75 29
Agathe,Fernandez,IT,afernandez,P@ssw0rd123,afernandez@neoinfra.fr,Administrateur système,Neoinfra,+33 (0)5 31 43 41 69,+33 (0)2 96 63 11 79
Martine,Gosselin,Direction,mgosselin,P@ssw0rd123,mgosselin@neoinfra.fr,Directeur général,Neoinfra,+33 (0)1 60 00 17 27,+33 (0)3 07 89 74 77
Louise,Dumas,IT,ldumas,P@ssw0rd123,ldumas@neoinfra.fr,Administrateur système,Neoinfra,+33 (0)6 47 00 23 00,03 01 66 74 49
Lorraine,Julien,Commerciaux,ljulien,P@ssw0rd123,ljulien@neoinfra.fr,Responsable commercial,Neoinfra,+33 (0)1 82 12 69 05,+33 1 32 78 24 91
Arnaude,Moreau,Finance,amoreau,P@ssw0rd123,amoreau@neoinfra.fr,Comptable,Neoinfra,+33 2 02 98 63 65,+33 (0)5 74 89 61 27
Stéphane,Ledoux,Direction,sledoux,P@ssw0rd123,sledoux@neoinfra.fr,Assistant de direction,Neoinfra,+33 8 06 27 11 11,+33 (0)8 03 44 25 22
Margot,Besson,Production,mbesson,P@ssw0rd123,mbesson@neoinfra.fr,Opérateur machine,Neoinfra,+33 (0)3 54 85 50 55,+33 (0)3 04 56 12 12
Patricia,Bertrand,Direction,pbertrand,P@ssw0rd123,pbertrand@neoinfra.fr,Directeur général,Neoinfra,+33 1 18 17 65 82,+33 4 71 53 20 37
Bernadette,Rey,Direction,brey,P@ssw0rd123,brey@neoinfra.fr,Assistant de direction,Neoinfra,0157486962,+33 8 07 14 97 48
Gilbert,Tessier,RH,gtessier,P@ssw0rd123,gtessier@neoinfra.fr,Gestionnaire paie,Neoinfra,06 67 53 38 66,0809429300
Céline,Dupont,Qualité,cdupont,P@ssw0rd123,cdupont@neoinfra.fr,Technicien qualité,Neoinfra,+33 (0)6 08 67 90 32,01 86 23 90 52
Alfred,Ledoux,Direction,aledoux,P@ssw0rd123,aledoux@neoinfra.fr,Directeur général,Neoinfra,+33 (0)6 49 35 86 47,+33 4 00 51 70 70
Marc,Muller,Production,mmuller,P@ssw0rd123,mmuller@neoinfra.fr,Technicien de production,Neoinfra,0253263660,08 07 80 72 02
Pénélope,Rossi,Commerciaux,prossi,P@ssw0rd123,prossi@neoinfra.fr,Commercial,Neoinfra,0450732410,01 40 46 05 89
Grégoire,Prévost,RH,gprévost,P@ssw0rd123,gprévost@neoinfra.fr,Gestionnaire paie,Neoinfra,0207424516,+33 6 02 86 79 27
Roger,Gérard,Commerciaux,rgérard,P@ssw0rd123,rgérard@neoinfra.fr,Commercial,Neoinfra,0800234905,03 14 73 83 07
Henri,Dubois,RH,hdubois,P@ssw0rd123,hdubois@neoinfra.fr,Responsable RH,Neoinfra,+33 6 86 03 64 73,01 95 86 28 73
Alphonse,Lombard,Direction,alombard,P@ssw0rd123,alombard@neoinfra.fr,Assistant de direction,Neoinfra,08 08 40 16 46,0662480102
Mathilde,Guibert,Finance,mguibert,P@ssw0rd123,mguibert@neoinfra.fr,Comptable,Neoinfra,+33 (0)4 70 11 37 57,+33 (0)1 38 77 77 74
Gilbert,Verdier,IT,gverdier,P@ssw0rd123,gverdier@neoinfra.fr,Administrateur système,Neoinfra,0495535701,08 04 88 53 14
Agathe,Gaudin,Production,agaudin,P@ssw0rd123,agaudin@neoinfra.fr,Technicien de production,Neoinfra,0805250565,0330094939
Antoinette,Foucher,RH,afoucher,P@ssw0rd123,afoucher@neoinfra.fr,Responsable RH,Neoinfra,0269478135,04 13 97 41 85
Inès,Boutin,RH,iboutin,P@ssw0rd123,iboutin@neoinfra.fr,Gestionnaire paie,Neoinfra,+33 (0)4 01 65 66 39,0572083906
Suzanne,Fernandes,IT,sfernandes,P@ssw0rd123,sfernandes@neoinfra.fr,Technicien support,Neoinfra,01 93 68 18 91,+33 2 02 73 88 89
Arnaude,Pires,Qualité,apires,P@ssw0rd123,apires@neoinfra.fr,Responsable qualité,Neoinfra,01 63 91 88 70,05 49 28 46 94
Stéphane,Boutin,Finance,sboutin,P@ssw0rd123,sboutin@neoinfra.fr,Contrôleur de gestion,Neoinfra,0261477740,+33 6 92 50 02 33
Marthe,Hervé,Commerciaux,mhervé,P@ssw0rd123,mhervé@neoinfra.fr,Responsable commercial,Neoinfra,0606691500,+33 (0)4 04 54 08 62
Alfred,Gauthier,Finance,agauthier,P@ssw0rd123,agauthier@neoinfra.fr,Comptable,Neoinfra,08 05 43 07 14,+33 8 03 63 11 44
Geneviève,Godard,Commerciaux,ggodard,P@ssw0rd123,ggodard@neoinfra.fr,Commercial,Neoinfra,0692589054,06 34 17 51 76
Patrick,Mercier,IT,pmercier,P@ssw0rd123,pmercier@neoinfra.fr,Administrateur système,Neoinfra,0808582133,0808235857
Céline,Le Gall,Direction,cle gall,P@ssw0rd123,cle gall@neoinfra.fr,Directeur général,Neoinfra,+33 (0)6 78 79 97 65,0220266401
Margot,Huet,IT,mhuet,P@ssw0rd123,mhuet@neoinfra.fr,Administrateur système,Neoinfra,08 04 28 89 58,02 58 95 53 15
Denise,Clerc,Finance,dclerc,P@ssw0rd123,dclerc@neoinfra.fr,Comptable,Neoinfra,+33 (0)6 54 27 31 39,0543996656
Anne,Nicolas,Finance,anicolas,P@ssw0rd123,anicolas@neoinfra.fr,Comptable,Neoinfra,+33 4 01 59 74 27,0195759678
Franck,Jacques,Finance,fjacques,P@ssw0rd123,fjacques@neoinfra.fr,Comptable,Neoinfra,0535853136,+33 (0)5 24 45 91 39
Xavier,Denis,Qualité,xdenis,P@ssw0rd123,xdenis@neoinfra.fr,Responsable qualité,Neoinfra,+33 1 26 31 10 72,+33 (0)1 11 78 27 15
Henriette,Pons,Commerciaux,hpons,P@ssw0rd123,hpons@neoinfra.fr,Commercial,Neoinfra,01 32 06 59 80,+33 8 04 90 86 93
Éric,Carpentier,Direction,écarpentier,P@ssw0rd123,écarpentier@neoinfra.fr,Assistant de direction,Neoinfra,+33 2 85 72 48 76,+33 3 68 85 47 81
Pénélope,Leduc,Production,pleduc,P@ssw0rd123,pleduc@neoinfra.fr,Technicien de production,Neoinfra,08 01 88 90 68,+33 (0)5 20 51 31 61
Paulette,Weber,Direction,pweber,P@ssw0rd123,pweber@neoinfra.fr,Assistant de direction,Neoinfra,+33 2 59 95 06 13,+33 (0)1 51 40 20 43
Pénélope,Leroux,Direction,pleroux,P@ssw0rd123,pleroux@neoinfra.fr,Directeur général,Neoinfra,+33 8 06 24 24 04,0282343790
Hugues,Payet,Direction,hpayet,P@ssw0rd123,hpayet@neoinfra.fr,Assistant de direction,Neoinfra,+33 (0)3 75 94 63 08,03 35 42 72 41
Marguerite,Guichard,RH,mguichard,P@ssw0rd123,mguichard@neoinfra.fr,Responsable RH,Neoinfra,04 36 94 95 29,0138659752
Constance,Meunier,RH,cmeunier,P@ssw0rd123,cmeunier@neoinfra.fr,Responsable RH,Neoinfra,+33 (0)5 88 40 89 93,04 58 23 00 14
Yves,Gautier,RH,ygautier,P@ssw0rd123,ygautier@neoinfra.fr,Responsable RH,Neoinfra,04 02 18 09 17,+33 1 90 18 43 20
Alexandre,Guichard,IT,aguichard,P@ssw0rd123,aguichard@neoinfra.fr,Administrateur système,Neoinfra,0109165727,+33 (0)3 27 32 17 13
Margaud,Arnaud,Commerciaux,marnaud,P@ssw0rd123,marnaud@neoinfra.fr,Responsable commercial,Neoinfra,08 03 12 39 16,0169233079
Michelle,Lopez,Direction,mlopez,P@ssw0rd123,mlopez@neoinfra.fr,Directeur général,Neoinfra,0395526894,+33 (0)1 21 20 00 29
Virginie,Adam,Commerciaux,vadam,P@ssw0rd123,vadam@neoinfra.fr,Responsable commercial,Neoinfra,05 72 01 09 88,+33 4 45 97 58 77
Hortense,Nicolas,Production,hnicolas,P@ssw0rd123,hnicolas@neoinfra.fr,Technicien de production,Neoinfra,08 02 26 21 26,+33 (0)8 06 77 73 60
Pierre,Leconte,Finance,pleconte,P@ssw0rd123,pleconte@neoinfra.fr,Contrôleur de gestion,Neoinfra,0345836808,0569881777
Amélie,Lenoir,RH,alenoir,P@ssw0rd123,alenoir@neoinfra.fr,Gestionnaire paie,Neoinfra,+33 (0)6 94 95 80 24,+33 5 72 43 59 51
Louise,Potier,Qualité,lpotier,P@ssw0rd123,lpotier@neoinfra.fr,Responsable qualité,Neoinfra,+33 (0)8 01 36 72 26,+33 3 75 22 11 32
Édith,Neveu,RH,éneveu,P@ssw0rd123,éneveu@neoinfra.fr,Gestionnaire paie,Neoinfra,04 37 07 77 87,+33 4 16 95 69 57
